"Service","EC2-Instances($)","Tax($)","EC2-Other($)","VPC($)","Key Management Service($)","CloudWatch($)","Total costs($)"
"Service total","14.6540238226","2.85","1.1817353526","0.001055555","0","0","18.6868147302"
"2024-10-01","14.6540238226","2.85","1.1817353526","0.001055555","0","0","18.6868147302"
